"","c_ch1","v_ch1","c_dch1","v_dch1","c_ch2","v_ch2","c_dch2","v_dch2","c_ch3","v_ch3","c_dch3","v_dch3","c_dch1.1","c_ch2.1","c_dch2.1","c_ch3.1","c_dch3.1"
"1",0,3.3502,0,0.0114,0,0.9879,0,0.0099,NA,NA,NA,NA,372.4128864,24.8623109,378.1559681,NA,NA
"2",0,3.35,0,0.0113,0,0.9876,0,0.0099,NA,NA,NA,NA,372.4128864,24.8623109,378.1559681,NA,NA
"3",0.004975655,2.953,0.009948323,0.0268,0.019899633,0.9185,0.019899633,0.0368,NA,NA,NA,NA,372.402938077,24.882210533,378.136068467,NA,NA
"4",0.024881264,2.659,0.059697406,0.0288,0.0596989,0.8772,0.059701888,0.0392,NA,NA,NA,NA,372.353188994,24.9220098,378.096266212,NA,NA
"5",0.044786872,2.4907,0.159210511,0.0308,0.099501154,0.8514,0.179117613,0.0418,NA,NA,NA,NA,372.253675889,24.961812054,377.976850487,NA,NA
"6",0.064689493,2.416,0.308480167,0.0328,0.139306396,0.8321,0.318435958,0.0445,NA,NA,NA,NA,372.104406233,25.001617296,377.837532142,NA,NA
"7",0.084592114,2.37,0.487603754,0.0348,0.179111638,0.8095,0.497559546,0.0469,NA,NA,NA,NA,371.925282646,25.041422538,377.658408554,NA,NA
"8",0.094543424,2.3287,0.597068169,0.0361,0.2388195,0.791,0.676683134,0.0492,NA,NA,NA,NA,371.815818231,25.1011304,377.479284966,NA,NA
"9",0.114446045,2.2842,0.666727342,0.0369,0.258722121,0.78,0.855806721,0.0512,NA,NA,NA,NA,371.746159058,25.121033021,377.300161379,NA,NA
"10",0.134351653,2.2305,0.86575355,0.0389,0.298527363,0.7653,1.07473555,0.0533,NA,NA,NA,NA,371.54713285,25.160838263,377.08123255,NA,NA
"11",0.154260249,2.1575,1.064779759,0.041,0.338332604,0.7564,1.174248655,0.0545,NA,NA,NA,NA,371.348106641,25.200643504,376.981719445,NA,NA
"12",0.164213053,2.02,1.204098105,0.0427,0.378137846,0.7482,1.29366438,0.0555,NA,NA,NA,NA,371.208788295,25.240448746,376.86230372,NA,NA
"13",0.184118661,1.9265,1.243903346,0.0431,0.417943088,0.7405,1.512593209,0.0578,NA,NA,NA,NA,371.168983054,25.280253988,376.643374891,NA,NA
"14",0.204027257,1.838,1.423026934,0.0451,0.457748329,0.7334,1.731522038,0.06,NA,NA,NA,NA,370.989859466,25.320059229,376.424446062,NA,NA
"15",0.223935853,1.7584,1.612101832,0.0472,0.477649457,0.7268,1.950450867,0.0621,NA,NA,NA,NA,370.800784568,25.339960357,376.205517233,NA,NA
"16",0.233890151,1.6906,1.80117673,0.0492,0.517451711,0.7176,2.209184938,0.0642,NA,NA,NA,NA,370.61170967,25.379762611,375.946783162,NA,NA
"17",0.253798747,1.6349,1.980300317,0.0513,0.557256952,0.7121,2.388308526,0.066,NA,NA,NA,NA,370.432586083,25.419567852,375.767659574,NA,NA
"18",0.273707343,1.5898,2.159423905,0.0534,0.597062194,0.7068,2.428113768,0.0664,NA,NA,NA,NA,370.253462495,25.459373094,375.727854332,NA,NA
"19",0.28366164,1.5519,2.358450113,0.0554,0.636867436,0.7019,2.647042597,0.0684,NA,NA,NA,NA,370.054436287,25.499178336,375.508925503,NA,NA
"20",0.303570236,1.519,2.398255355,0.0558,0.67666969,0.6972,2.905776668,0.0706,NA,NA,NA,NA,370.014631045,25.53898059,375.250191432,NA,NA
"21",0.323478832,1.4894,2.547525011,0.0575,0.716471944,0.6905,3.164510739,0.0729,NA,NA,NA,NA,369.865361389,25.578782844,374.991457361,NA,NA
"22",0.343387428,1.4623,2.766453841,0.0596,0.736374565,0.6863,3.42324481,0.075,NA,NA,NA,NA,369.646432559,25.598685465,374.73272329,NA,NA
"23",0.363296024,1.4367,2.97543136,0.0617,0.776179807,0.6822,3.582465776,0.0761,NA,NA,NA,NA,369.43745504,25.638490707,374.573502324,NA,NA
"24",0.373250322,1.4124,3.005285291,0.0619,0.815985048,0.6782,3.681978881,0.077,NA,NA,NA,NA,369.407601109,25.678295948,374.473989219,NA,NA
"25",0.393158917,1.3776,3.184408878,0.0637,0.85579029,0.6745,3.960615572,0.079,NA,NA,NA,NA,369.228477522,25.71810119,374.195352528,NA,NA
"26",0.413067513,1.3556,3.423240328,0.0657,0.895595532,0.6708,4.239252264,0.081,NA,NA,NA,NA,368.989646072,25.757906432,373.916715836,NA,NA
"27",0.432976109,1.3347,3.602363916,0.0672,0.935400773,0.6655,4.577596818,0.0832,NA,NA,NA,NA,368.810522484,25.797711673,373.578371282,NA,NA
