CH_Capa_01,CH_Vol_01,DCH_01,DCH_Capa_01,DCH_Vol_01,CH_02,CH_Capa_02,CH_Vol_02,DCH_02,DCH_Capa_02,DCH_Vol_02,CH_03,CH_Capa_03,CH_Vol_03,DCH_03,DCH_Capa_03,DCH_Vol_03
0,3.283,0,11.128,0.011,0,1.118,1.286,0,11.471,0.01,0,1.432,1.305,0,11.69,0.01
0.01,1.836,0.01,11.118,0.06,0.01,1.128,0.951,0.01,11.407,0.053,0.01,1.442,0.958,0.01,11.68,0.053
0.02,1.367,0.019,11.109,0.063,0.02,1.138,0.835,0.019,11.398,0.058,0.02,1.452,0.84,0.019,11.671,0.057
0.029,1.04,0.029,11.099,0.066,0.029,1.147,0.756,0.029,11.388,0.061,0.029,1.461,0.759,0.029,11.661,0.06
0.039,0.925,0.039,11.089,0.069,0.039,1.157,0.702,0.039,11.378,0.065,0.039,1.471,0.704,0.039,11.651,0.063
0.049,0.858,0.049,11.079,0.072,0.049,1.167,0.665,0.049,11.368,0.067,0.049,1.481,0.666,0.049,11.641,0.066
0.059,0.808,0.058,11.07,0.075,0.059,1.177,0.636,0.058,11.359,0.07,0.059,1.491,0.636,0.058,11.632,0.069
0.068,0.765,0.068,11.06,0.078,0.068,1.186,0.611,0.068,11.349,0.072,0.068,1.5,0.611,0.068,11.622,0.071
0.078,0.727,0.078,11.05,0.08,0.078,1.196,0.588,0.078,11.339,0.075,0.078,1.51,0.588,0.078,11.612,0.073
0.088,0.694,0.88,11.04,0.083,0.088,1.206,0.568,0.088,11.329,0.077,0.088,1.52,0.568,0.088,11.602,0.076
0.098,0.666,0.097,11.031,0.085,0.098,1.216,0.549,0.097,11.32,0.079,0.098,1.53,0.549,0.097,11.593,0.078
0.107,0.648,0.107,11.021,0.087,0.107,1.225,0.531,0.107,11.31,0.081,0.107,1.539,0.531,0.107,11.583,0.08
0.117,0.633,0.117,11.011,0.088,0.117,1.235,0.516,0.117,11.3,0.083,0.117,1.549,0.515,0.117,11.573,0.082
0.127,0.62,0.127,11.001,0.09,0.127,1.245,0.5,0.127,11.29,0.084,0.127,1.559,0.5,0.127,11.563,0.083
0.137,0.607,0.136,10.992,0.091,0.137,1.255,0.487,0.136,11.281,0.086,0.137,1.569,0.486,0.136,11.554,0.085
0.146,0.597,0.146,10.982,0.093,0.146,1.264,0.473,0.146,11.271,0.087,0.146,1.578,0.473,0.146,11.544,0.087
0.156,0.589,0.156,10.972,0.094,0.156,1.274,0.461,0.156,11.261,0.089,0.156,1.588,0.461,0.156,11.534,0.088
0.166,0.58,0.166,10.962,0.095,0.166,1.284,0.449,0.166,11.251,0.09,0.166,1.598,0.449,0.166,11.524,0.089
0.176,0.573,0.175,10.953,0.096,0.176,1.294,0.438,0.175,11.242,0.091,0.176,1.608,0.437,0.175,11.515,0.091
0.185,0.565,0.185,10.943,0.097,0.185,1.303,0.427,0.185,11.232,0.093,0.185,1.617,0.427,0.185,11.505,0.092
