CH_02,CH_Capa_02,CH_Vol_02,DCH_02,DCH_Capa_02,DCH_Vol_02,CH_03,CH_Capa_03,CH_Vol_03,DCH_03,DCH_Capa_03,DCH_Vol_03
0,0.41644,2.88526,0,12.33949,4.49882,0,0.43071,2.88625,0,12.33372,4.49897
0.0195,0.43594,3.37357,0.00975,12.32974,4.4864,0.0325,0.46321,3.5147,0.00975,12.32397,4.48669
0.039,0.45544,3.51185,0.0195,12.31999,4.4828,0.065,0.49571,3.60687,0.195,12.31422,4.4831
0.0585,0.47494,3.56762,0.02925,12.31024,4.48005,0.09749,0.5282,3.62458,0.02925,12.30447,4.48036
0.078,0.49444,3.58639,0.039,12.30049,4.47765,0.12999,0.5607,3.63207,0.03901,12.29471,4.47794
0.0975,0.51394,3.59527,0.04874,12.29075,4.47538,0.16249,0.5932,3.6368,0.04876,12.28496,4.47565
0.117,0.53344,3.60802,0.05849,12.281,4.47317,0.19499,0.6257,3.64043,0.05851,12.27521,4.47346
0.1365,0.55294,3.60483,0.06824,12.27125,4.47103,0.22749,0.6582,3.64337,0.06826,12.26546,4.47132
0.156,0.57244,3.60802,0.07709,12.2615,4.46893,0.25999,0.6907,3.6459,0.07801,12.25571,4.46921
0.1755,0.59194,3.61071,0.08774,12.25175,4.46686,0.29249,0.7232,3.64816,0.08776,12.24596,4.46712
0.195,0.61144,3.61308,0.09749,12.242,4.46477,0.32499,0.7557,3.65025,0.09751,12.23621,4.46301
0.2145,0.63094,3.61518,0.10724,12.23225,4.46273,0.35749,0.7882,3.65417,0.10727,12.22645,4.46099
0.234,0.65044,3.61708,0.11699,12.2225,4.46067,0.38999,0.8207,3.656,0.11702,12.2167,4.45894
0.2535,0.66994,3.61883,0.12674,12.21275,4.45863,0.42249,0.8532,3.65778,0.12677,12.20695,4.45689
0.273,0.68944,3.62046,0.13648,12.20301,4.45661,0.45499,0.8857,3.65947,0.13652,12.1972,4.45286
0.2925,0.70894,3.62201,0.14623,12.19326,4.45459,0.48748,0.91819,3.66116,0.14627,12.18745,4.45085
0.312,0.72844,3.62346,0.15598,12.18351,4.45257,0.51998,0.95069,3.66282,0.15602,12.1777,4.44883
0.3315,0.74794,3.6249,0.16573,12.17376,4.45055,0.55248,0.98319,3.6644,0.16577,12.16795,4.44683
0.351,0.76744,3.62628,0.17548,12.16401,4.44855,0.58498,1.01569,3.66594,0.17552,12.1582,4.44486
0.3705,0.78694,3.62762,0.18523,12.15426,4.44655,0.61748,1.04819,3.66751,0.18528,12.14844,4.44284
