class,filename,height,width,x,y
1,301.jpg,2400.0,1935.0,734.0,945.0
2,301.jpg,2400.0,1935.0,1305.0,913.0
3,301.jpg,2400.0,1935.0,1228.0,1116.0
4,301.jpg,2400.0,1935.0,543.0,1142.0
5,301.jpg,2400.0,1935.0,1346.0,1407.0
6,301.jpg,2400.0,1935.0,1310.0,1803.0
7,301.jpg,2400.0,1935.0,1312.0,1895.0
8,301.jpg,2400.0,1935.0,1262.0,1960.0
9,301.jpg,2400.0,1935.0,1295.0,1937.0
10,301.jpg,2400.0,1935.0,656.0,1692.0
11,301.jpg,2400.0,1935.0,1403.0,1607.0
12,301.jpg,2400.0,1935.0,1417.0,1609.0
13,301.jpg,2400.0,1935.0,1522.0,1486.0
14,301.jpg,2400.0,1935.0,1496.0,1751.0
15,301.jpg,2400.0,1935.0,1468.0,1396.0
16,301.jpg,2400.0,1935.0,1440.0,1863.0
17,301.jpg,2400.0,1935.0,910.0,1346.0
18,301.jpg,2400.0,1935.0,1355.0,1358.0
19,301.jpg,2400.0,1935.0,605.0,1220.0
1,302.jpg,2400.0,1935.0,1060.0,959.0
2,302.jpg,2400.0,1935.0,1584.0,810.0
3,302.jpg,2400.0,1935.0,1533.0,1040.0
4,302.jpg,2400.0,1935.0,928.0,1148.0
5,302.jpg,2400.0,1935.0,1678.0,1329.0
6,302.jpg,2400.0,1935.0,1575.0,1695.0
7,302.jpg,2400.0,1935.0,1589.0,1810.0
8,302.jpg,2400.0,1935.0,1550.0,1876.0
9,302.jpg,2400.0,1935.0,1578.0,1856.0
10,302.jpg,2400.0,1935.0,1056.0,1617.0
11,302.jpg,2400.0,1935.0,1640.0,1488.0
12,302.jpg,2400.0,1935.0,1707.0,1545.0
13,302.jpg,2400.0,1935.0,1819.0,1406.0
14,302.jpg,2400.0,1935.0,1747.0,1667.0
15,302.jpg,2400.0,1935.0,1736.0,1308.0
16,302.jpg,2400.0,1935.0,1698.0,1796.0
17,302.jpg,2400.0,1935.0,1292.0,1306.0
18,302.jpg,2400.0,1935.0,1674.0,1246.0
19,302.jpg,2400.0,1935.0,1000.0,1277.0
1,303.jpg,2400.0,1935.0,891.0,1030.0
2,303.jpg,2400.0,1935.0,1487.0,1003.0
3,303.jpg,2400.0,1935.0,1363.0,1232.0
4,303.jpg,2400.0,1935.0,604.0,1239.0
5,303.jpg,2400.0,1935.0,1477.0,1608.0
6,303.jpg,2400.0,1935.0,1398.0,2086.0
7,303.jpg,2400.0,1935.0,1397.0,2143.0
8,303.jpg,2400.0,1935.0,1329.0,2231.0
9,303.jpg,2400.0,1935.0,1378.0,2196.0
10,303.jpg,2400.0,1935.0,755.0,1878.0
11,303.jpg,2400.0,1935.0,1546.0,1843.0
12,303.jpg,2400.0,1935.0,1565.0,1843.0
13,303.jpg,2400.0,1935.0,1670.0,1722.0
14,303.jpg,2400.0,1935.0,1618.0,1998.0
15,303.jpg,2400.0,1935.0,1630.0,1594.0
16,303.jpg,2400.0,1935.0,1514.0,2108.0
17,303.jpg,2400.0,1935.0,1000.0,1481.0
18,303.jpg,2400.0,1935.0,1507.0,1553.0
19,303.jpg,2400.0,1935.0,660.0,1375.0
1,304.jpg,2400.0,1935.0,806.0,1109.0
2,304.jpg,2400.0,1935.0,1374.0,1029.0
3,304.jpg,2400.0,1935.0,1264.0,1299.0
4,304.jpg,2400.0,1935.0,554.0,1278.0
5,304.jpg,2400.0,1935.0,1366.0,1577.0
6,304.jpg,2400.0,1935.0,1382.0,1973.0
7,304.jpg,2400.0,1935.0,1386.0,2057.0
8,304.jpg,2400.0,1935.0,1336.0,2117.0
9,304.jpg,2400.0,1935.0,1372.0,2093.0
10,304.jpg,2400.0,1935.0,740.0,1753.0
11,304.jpg,2400.0,1935.0,1422.0,1777.0
12,304.jpg,2400.0,1935.0,1406.0,1767.0
13,304.jpg,2400.0,1935.0,1540.0,1659.0
14,304.jpg,2400.0,1935.0,1544.0,1857.0
15,304.jpg,2400.0,1935.0,1480.0,1561.0
16,304.jpg,2400.0,1935.0,1510.0,2017.0
17,304.jpg,2400.0,1935.0,978.0,1477.0
18,304.jpg,2400.0,1935.0,1416.0,1497.0
19,304.jpg,2400.0,1935.0,666.0,1369.0
1,305.jpg,2400.0,1935.0,817.0,1077.0
2,305.jpg,2400.0,1935.0,1424.0,978.0
3,305.jpg,2400.0,1935.0,1333.0,1185.0
4,305.jpg,2400.0,1935.0,639.0,1260.0
5,305.jpg,2400.0,1935.0,1476.0,1524.0
6,305.jpg,2400.0,1935.0,1390.0,1897.0
7,305.jpg,2400.0,1935.0,1402.0,1977.0
8,305.jpg,2400.0,1935.0,1346.0,2047.0
9,305.jpg,2400.0,1935.0,1388.0,2023.0
10,305.jpg,2400.0,1935.0,768.0,1748.0
11,305.jpg,2400.0,1935.0,1511.0,1707.0
12,305.jpg,2400.0,1935.0,1537.0,1731.0
13,305.jpg,2400.0,1935.0,1635.0,1604.0
14,305.jpg,2400.0,1935.0,1588.0,1829.0
15,305.jpg,2400.0,1935.0,1581.0,1498.0
16,305.jpg,2400.0,1935.0,1499.0,1952.0
17,305.jpg,2400.0,1935.0,1029.0,1453.0
18,305.jpg,2400.0,1935.0,1476.0,1464.0
19,305.jpg,2400.0,1935.0,721.0,1378.0
1,306.jpg,2400.0,1935.0,840.0,1085.0
2,306.jpg,2400.0,1935.0,1381.0,1011.0
3,306.jpg,2400.0,1935.0,1319.0,1214.0
4,306.jpg,2400.0,1935.0,596.0,1260.0
5,306.jpg,2400.0,1935.0,1416.0,1550.0
6,306.jpg,2400.0,1935.0,1260.0,1947.0
7,306.jpg,2400.0,1935.0,1248.0,2015.0
8,306.jpg,2400.0,1935.0,1170.0,2072.0
9,306.jpg,2400.0,1935.0,1220.0,2050.0
10,306.jpg,2400.0,1935.0,658.0,1704.0
11,306.jpg,2400.0,1935.0,1362.0,1708.0
12,306.jpg,2400.0,1935.0,1394.0,1746.0
13,306.jpg,2400.0,1935.0,1575.0,1652.0
14,306.jpg,2400.0,1935.0,1473.0,1922.0
15,306.jpg,2400.0,1935.0,1533.0,1546.0
16,306.jpg,2400.0,1935.0,1366.0,2015.0
17,306.jpg,2400.0,1935.0,1001.0,1458.0
18,306.jpg,2400.0,1935.0,1434.0,1496.0
19,306.jpg,2400.0,1935.0,679.0,1354.0
1,307.jpg,2400.0,1935.0,830.0,1096.0
2,307.jpg,2400.0,1935.0,1410.0,972.0
3,307.jpg,2400.0,1935.0,1318.0,1201.0
4,307.jpg,2400.0,1935.0,635.0,1265.0
5,307.jpg,2400.0,1935.0,1453.0,1475.0
6,307.jpg,2400.0,1935.0,1406.0,1769.0
7,307.jpg,2400.0,1935.0,1438.0,1855.0
8,307.jpg,2400.0,1935.0,1383.0,1922.0
9,307.jpg,2400.0,1935.0,1424.0,1899.0
10,307.jpg,2400.0,1935.0,730.0,1781.0
11,307.jpg,2400.0,1935.0,1456.0,1621.0
12,307.jpg,2400.0,1935.0,1477.0,1650.0
13,307.jpg,2400.0,1935.0,1597.0,1561.0
14,307.jpg,2400.0,1935.0,1560.0,1733.0
15,307.jpg,2400.0,1935.0,1570.0,1479.0
16,307.jpg,2400.0,1935.0,1536.0,1885.0
17,307.jpg,2400.0,1935.0,1026.0,1437.0
18,307.jpg,2400.0,1935.0,1493.0,1429.0
19,307.jpg,2400.0,1935.0,704.0,1381.0
1,308.jpg,2400.0,1935.0,779.0,1047.0
2,308.jpg,2400.0,1935.0,1382.0,938.0
3,308.jpg,2400.0,1935.0,1300.0,1175.0
4,308.jpg,2400.0,1935.0,586.0,1242.0
5,308.jpg,2400.0,1935.0,1389.0,1498.0
6,308.jpg,2400.0,1935.0,1296.0,1912.0
7,308.jpg,2400.0,1935.0,1291.0,2011.0
8,308.jpg,2400.0,1935.0,1242.0,2070.0
9,308.jpg,2400.0,1935.0,1275.0,2056.0
10,308.jpg,2400.0,1935.0,696.0,1747.0
11,308.jpg,2400.0,1935.0,1429.0,1707.0
12,308.jpg,2400.0,1935.0,1449.0,1749.0
13,308.jpg,2400.0,1935.0,1576.0,1615.0
14,308.jpg,2400.0,1935.0,1517.0,1836.0
15,308.jpg,2400.0,1935.0,1523.0,1488.0
16,308.jpg,2400.0,1935.0,1430.0,1984.0
17,308.jpg,2400.0,1935.0,975.0,1430.0
18,308.jpg,2400.0,1935.0,1431.0,1433.0
19,308.jpg,2400.0,1935.0,672.0,1357.0
1,309.jpg,2400.0,1935.0,798.0,1090.0
2,309.jpg,2400.0,1935.0,1370.0,1008.0
3,309.jpg,2400.0,1935.0,1252.0,1269.0
4,309.jpg,2400.0,1935.0,587.0,1279.0
5,309.jpg,2400.0,1935.0,1329.0,1572.0
6,309.jpg,2400.0,1935.0,1331.0,1945.0
7,309.jpg,2400.0,1935.0,1371.0,2060.0
8,309.jpg,2400.0,1935.0,1299.0,2135.0
9,309.jpg,2400.0,1935.0,1349.0,2113.0
10,309.jpg,2400.0,1935.0,680.0,1835.0
11,309.jpg,2400.0,1935.0,1342.0,1754.0
12,309.jpg,2400.0,1935.0,1365.0,1768.0
13,309.jpg,2400.0,1935.0,1517.0,1641.0
14,309.jpg,2400.0,1935.0,1481.0,1884.0
15,309.jpg,2400.0,1935.0,1466.0,1562.0
16,309.jpg,2400.0,1935.0,1466.0,2076.0
17,309.jpg,2400.0,1935.0,948.0,1489.0
18,309.jpg,2400.0,1935.0,1356.0,1478.0
19,309.jpg,2400.0,1935.0,644.0,1418.0
1,310.jpg,2400.0,1935.0,777.0,1055.0
2,310.jpg,2400.0,1935.0,1346.0,934.0
3,310.jpg,2400.0,1935.0,1253.0,1165.0
4,310.jpg,2400.0,1935.0,535.0,1149.0
5,310.jpg,2400.0,1935.0,1373.0,1520.0
6,310.jpg,2400.0,1935.0,1293.0,1894.0
7,310.jpg,2400.0,1935.0,1291.0,1972.0
8,310.jpg,2400.0,1935.0,1231.0,2027.0
9,310.jpg,2400.0,1935.0,1271.0,2010.0
10,310.jpg,2400.0,1935.0,706.0,1686.0
11,310.jpg,2400.0,1935.0,1384.0,1657.0
12,310.jpg,2400.0,1935.0,1437.0,1706.0
13,310.jpg,2400.0,1935.0,1545.0,1579.0
14,310.jpg,2400.0,1935.0,1485.0,1851.0
15,310.jpg,2400.0,1935.0,1504.0,1479.0
16,310.jpg,2400.0,1935.0,1402.0,1942.0
17,310.jpg,2400.0,1935.0,962.0,1424.0
18,310.jpg,2400.0,1935.0,1384.0,1448.0
19,310.jpg,2400.0,1935.0,681.0,1323.0
1,311.jpg,2400.0,1935.0,767.0,1078.0
2,311.jpg,2400.0,1935.0,1367.0,1058.0
3,311.jpg,2400.0,1935.0,1277.0,1266.0
4,311.jpg,2400.0,1935.0,560.0,1195.0
5,311.jpg,2400.0,1935.0,1304.0,1574.0
6,311.jpg,2400.0,1935.0,1257.0,1980.0
7,311.jpg,2400.0,1935.0,1252.0,2045.0
8,311.jpg,2400.0,1935.0,1196.0,2113.0
9,311.jpg,2400.0,1935.0,1231.0,2094.0
10,311.jpg,2400.0,1935.0,671.0,1764.0
11,311.jpg,2400.0,1935.0,1366.0,1769.0
12,311.jpg,2400.0,1935.0,1379.0,1772.0
13,311.jpg,2400.0,1935.0,1485.0,1633.0
14,311.jpg,2400.0,1935.0,1444.0,1917.0
15,311.jpg,2400.0,1935.0,1416.0,1554.0
16,311.jpg,2400.0,1935.0,1363.0,2014.0
17,311.jpg,2400.0,1935.0,934.0,1482.0
18,311.jpg,2400.0,1935.0,1378.0,1505.0
19,311.jpg,2400.0,1935.0,621.0,1351.0
1,312.jpg,2400.0,1935.0,827.0,1008.0
2,312.jpg,2400.0,1935.0,1405.0,1079.0
3,312.jpg,2400.0,1935.0,1287.0,1299.0
4,312.jpg,2400.0,1935.0,585.0,1182.0
5,312.jpg,2400.0,1935.0,1282.0,1603.0
6,312.jpg,2400.0,1935.0,1164.0,2028.0
7,312.jpg,2400.0,1935.0,1149.0,2100.0
8,312.jpg,2400.0,1935.0,1066.0,2154.0
9,312.jpg,2400.0,1935.0,1122.0,2142.0
10,312.jpg,2400.0,1935.0,604.0,1727.0
11,312.jpg,2400.0,1935.0,1306.0,1812.0
12,312.jpg,2400.0,1935.0,1327.0,1832.0
13,312.jpg,2400.0,1935.0,1467.0,1744.0
14,312.jpg,2400.0,1935.0,1377.0,2006.0
15,312.jpg,2400.0,1935.0,1397.0,1625.0
16,312.jpg,2400.0,1935.0,1274.0,2080.0
17,312.jpg,2400.0,1935.0,939.0,1456.0
18,312.jpg,2400.0,1935.0,1305.0,1540.0
19,312.jpg,2400.0,1935.0,630.0,1331.0
1,313.jpg,2400.0,1935.0,759.0,1030.0
2,313.jpg,2400.0,1935.0,1360.0,997.0
3,313.jpg,2400.0,1935.0,1253.0,1194.0
4,313.jpg,2400.0,1935.0,553.0,1187.0
5,313.jpg,2400.0,1935.0,1299.0,1537.0
6,313.jpg,2400.0,1935.0,1137.0,1953.0
7,313.jpg,2400.0,1935.0,1139.0,2061.0
8,313.jpg,2400.0,1935.0,1086.0,2115.0
9,313.jpg,2400.0,1935.0,1121.0,2099.0
10,313.jpg,2400.0,1935.0,626.0,1678.0
11,313.jpg,2400.0,1935.0,1269.0,1744.0
12,313.jpg,2400.0,1935.0,1289.0,1781.0
13,313.jpg,2400.0,1935.0,1425.0,1696.0
14,313.jpg,2400.0,1935.0,1354.0,1904.0
15,313.jpg,2400.0,1935.0,1407.0,1546.0
16,313.jpg,2400.0,1935.0,1257.0,2031.0
17,313.jpg,2400.0,1935.0,901.0,1447.0
18,313.jpg,2400.0,1935.0,1316.0,1483.0
19,313.jpg,2400.0,1935.0,639.0,1296.0
1,314.jpg,2400.0,1935.0,795.0,1065.0
2,314.jpg,2400.0,1935.0,1327.0,993.0
3,314.jpg,2400.0,1935.0,1270.0,1215.0
4,314.jpg,2400.0,1935.0,609.0,1251.0
5,314.jpg,2400.0,1935.0,1349.0,1507.0
6,314.jpg,2400.0,1935.0,1289.0,1794.0
7,314.jpg,2400.0,1935.0,1295.0,1876.0
8,314.jpg,2400.0,1935.0,1246.0,1934.0
9,314.jpg,2400.0,1935.0,1278.0,1918.0
10,314.jpg,2400.0,1935.0,721.0,1721.0
11,314.jpg,2400.0,1935.0,1339.0,1617.0
12,314.jpg,2400.0,1935.0,1424.0,1647.0
13,314.jpg,2400.0,1935.0,1516.0,1549.0
14,314.jpg,2400.0,1935.0,1453.0,1754.0
15,314.jpg,2400.0,1935.0,1466.0,1467.0
16,314.jpg,2400.0,1935.0,1402.0,1851.0
17,314.jpg,2400.0,1935.0,986.0,1434.0
18,314.jpg,2400.0,1935.0,1370.0,1442.0
19,314.jpg,2400.0,1935.0,691.0,1332.0
1,315.jpg,2400.0,1935.0,945.0,972.0
2,315.jpg,2400.0,1935.0,1507.0,868.0
3,315.jpg,2400.0,1935.0,1411.0,1130.0
4,315.jpg,2400.0,1935.0,744.0,1179.0
5,315.jpg,2400.0,1935.0,1528.0,1466.0
6,315.jpg,2400.0,1935.0,1464.0,1801.0
7,315.jpg,2400.0,1935.0,1473.0,1962.0
8,315.jpg,2400.0,1935.0,1427.0,2003.0
9,315.jpg,2400.0,1935.0,1455.0,1990.0
10,315.jpg,2400.0,1935.0,823.0,1750.0
11,315.jpg,2400.0,1935.0,1525.0,1641.0
12,315.jpg,2400.0,1935.0,1554.0,1656.0
13,315.jpg,2400.0,1935.0,1677.0,1527.0
14,315.jpg,2400.0,1935.0,1626.0,1768.0
15,315.jpg,2400.0,1935.0,1631.0,1412.0
16,315.jpg,2400.0,1935.0,1587.0,1934.0
17,315.jpg,2400.0,1935.0,1100.0,1366.0
18,315.jpg,2400.0,1935.0,1560.0,1350.0
19,315.jpg,2400.0,1935.0,807.0,1291.0
1,316.jpg,2400.0,1935.0,865.0,1003.0
2,316.jpg,2400.0,1935.0,1479.0,977.0
3,316.jpg,2400.0,1935.0,1366.0,1229.0
4,316.jpg,2400.0,1935.0,564.0,1200.0
5,316.jpg,2400.0,1935.0,1459.0,1555.0
6,316.jpg,2400.0,1935.0,1367.0,1968.0
7,316.jpg,2400.0,1935.0,1358.0,2075.0
8,316.jpg,2400.0,1935.0,1301.0,2151.0
9,316.jpg,2400.0,1935.0,1338.0,2121.0
10,316.jpg,2400.0,1935.0,696.0,1802.0
11,316.jpg,2400.0,1935.0,1486.0,1775.0
