filename,width,height,class,xmin,ymin,xmax,ymax
001.jpg,645,800,1,245,292,311,372
001.jpg,645,800,2,458,303,524,383
001.jpg,645,800,3,396,386,462,466
001.jpg,645,800,4,168,369,234,449
001.jpg,645,800,5,425,511,491,591
001.jpg,645,800,6,429,633,495,713
001.jpg,645,800,7,411,693,477,773
001.jpg,645,800,8,388,717,454,797
001.jpg,645,800,9,402,710,468,790
001.jpg,645,800,10,198,561,264,641
001.jpg,645,800,11,453,583,519,663
001.jpg,645,800,12,450,581,516,661
001.jpg,645,800,13,496,544,562,624
001.jpg,645,800,14,490,631,556,711
001.jpg,645,800,15,471,500,537,580
001.jpg,645,800,16,427,730,493,800
001.jpg,645,800,17,281,462,347,542
001.jpg,645,800,18,445,483,511,563
001.jpg,645,800,19,188,406,254,486
002.jpg,645,800,1,237,310,303,390
002.jpg,645,800,2,432,288,498,368
002.jpg,645,800,3,394,372,460,452
002.jpg,645,800,4,167,379,233,459
002.jpg,645,800,5,431,489,497,569
002.jpg,645,800,6,416,578,482,658
002.jpg,645,800,7,427,628,493,708
002.jpg,645,800,8,407,657,473,737
002.jpg,645,800,9,421,647,487,727
002.jpg,645,800,10,196,545,262,625
002.jpg,645,800,11,436,532,502,612
002.jpg,645,800,12,442,538,508,618
002.jpg,645,800,13,473,516,539,596
002.jpg,645,800,14,471,571,537,651
002.jpg,645,800,15,454,465,520,545
002.jpg,645,800,16,453,661,519,741
002.jpg,645,800,17,293,437,359,517
002.jpg,645,800,18,433,441,499,521
002.jpg,645,800,19,181,411,247,491
003.jpg,645,800,1,220,328,286,408
003.jpg,645,800,2,410,263,476,343
003.jpg,645,800,3,383,353,449,433
003.jpg,645,800,4,174,386,240,466
003.jpg,645,800,5,445,431,511,511
003.jpg,645,800,6,446,541,512,621
003.jpg,645,800,7,453,587,519,667
003.jpg,645,800,8,435,605,501,685
003.jpg,645,800,9,449,600,515,680
003.jpg,645,800,10,238,530,304,610
003.jpg,645,800,11,450,485,516,565
003.jpg,645,800,12,465,496,531,576
003.jpg,645,800,13,494,443,560,523
003.jpg,645,800,14,499,522,565,602
003.jpg,645,800,15,475,416,541,496
003.jpg,645,800,16,475,601,541,681
003.jpg,645,800,17,303,428,369,508
003.jpg,645,800,18,440,410,506,490
003.jpg,645,800,19,204,409,270,489
004.jpg,645,800,1,259,324,325,404
004.jpg,645,800,2,479,259,545,339
004.jpg,645,800,3,424,373,490,453
004.jpg,645,800,4,181,371,247,451
004.jpg,645,800,5,478,490,544,570
004.jpg,645,800,6,456,571,522,651
004.jpg,645,800,7,456,632,522,712
004.jpg,645,800,8,439,657,505,737
004.jpg,645,800,9,450,647,516,727
004.jpg,645,800,10,229,574,295,654
004.jpg,645,800,11,463,532,529,612
004.jpg,645,800,12,479,540,545,620
004.jpg,645,800,13,518,525,584,605
004.jpg,645,800,14,511,584,577,664
004.jpg,645,800,15,505,474,571,554
004.jpg,645,800,16,475,662,541,742
004.jpg,645,800,17,326,443,392,523
004.jpg,645,800,18,479,447,545,527
004.jpg,645,800,19,203,419,269,499
005.jpg,645,800,1,202,302,268,382
005.jpg,645,800,2,398,234,464,314
005.jpg,645,800,3,381,321,447,401
005.jpg,645,800,4,143,367,209,447
005.jpg,645,800,5,441,441,507,521
005.jpg,645,800,6,411,553,477,633
005.jpg,645,800,7,408,614,474,694
005.jpg,645,800,8,393,630,459,710
005.jpg,645,800,9,403,624,469,704
005.jpg,645,800,10,206,512,272,592
005.jpg,645,800,11,438,495,504,575
005.jpg,645,800,12,453,504,519,584
005.jpg,645,800,13,481,450,547,530
005.jpg,645,800,14,468,547,534,627
005.jpg,645,800,15,457,418,523,498
005.jpg,645,800,16,427,627,493,707
005.jpg,645,800,17,283,415,349,495
005.jpg,645,800,18,427,397,493,477
005.jpg,645,800,19,176,401,242,481
006.jpg,645,800,1,243,287,309,367
006.jpg,645,800,2,432,293,498,373
006.jpg,645,800,3,380,377,446,457
006.jpg,645,800,4,166,347,232,427
006.jpg,645,800,5,408,479,474,559
006.jpg,645,800,6,434,612,500,692
006.jpg,645,800,7,429,663,495,743
006.jpg,645,800,8,415,678,481,758
006.jpg,645,800,9,423,673,489,753
006.jpg,645,800,10,219,514,285,594
006.jpg,645,800,11,448,549,514,629
006.jpg,645,800,12,431,549,497,629
006.jpg,645,800,13,477,507,543,587
006.jpg,645,800,14,488,581,554,661
006.jpg,645,800,15,454,470,520,550
006.jpg,645,800,16,458,682,524,762
006.jpg,645,800,17,277,433,343,513
006.jpg,645,800,18,404,450,470,530
006.jpg,645,800,19,198,374,264,454
007.jpg,645,800,1,244,296,310,376
007.jpg,645,800,2,448,235,514,315
007.jpg,645,800,3,402,336,468,416
007.jpg,645,800,4,173,377,239,457
007.jpg,645,800,5,460,482,526,562
007.jpg,645,800,6,435,582,501,662
007.jpg,645,800,7,415,674,481,754
007.jpg,645,800,8,396,689,462,769
007.jpg,645,800,9,408,686,474,766
007.jpg,645,800,10,215,551,281,631
007.jpg,645,800,11,446,531,512,611
007.jpg,645,800,12,457,535,523,615
007.jpg,645,800,13,503,477,569,557
007.jpg,645,800,14,503,569,569,649
007.jpg,645,800,15,486,441,552,521
007.jpg,645,800,16,426,693,492,773
007.jpg,645,800,17,311,426,377,506
007.jpg,645,800,18,463,415,529,495
007.jpg,645,800,19,195,411,261,491
008.jpg,645,800,1,229,306,295,386
008.jpg,645,800,2,406,232,472,312
008.jpg,645,800,3,381,327,447,407
008.jpg,645,800,4,178,368,244,448
008.jpg,645,800,5,447,418,513,498
008.jpg,645,800,6,428,517,494,597
008.jpg,645,800,7,422,568,488,648
008.jpg,645,800,8,406,588,472,668
008.jpg,645,800,9,418,582,484,662
008.jpg,645,800,10,232,520,298,600
008.jpg,645,800,11,452,472,518,552
008.jpg,645,800,12,465,478,531,558
008.jpg,645,800,13,500,435,566,515
008.jpg,645,800,14,491,509,557,589
008.jpg,645,800,15,456,398,522,478
008.jpg,645,800,16,446,590,512,670
008.jpg,645,800,17,301,402,367,482
008.jpg,645,800,18,442,380,508,460
008.jpg,645,800,19,201,392,267,472
009.jpg,645,800,1,251,321,317,401
009.jpg,645,800,2,447,303,513,383
009.jpg,645,800,3,397,378,463,458
009.jpg,645,800,4,167,385,233,465
009.jpg,645,800,5,429,484,495,564
009.jpg,645,800,6,408,592,474,672
009.jpg,645,800,7,402,631,468,711
009.jpg,645,800,8,391,648,457,728
009.jpg,645,800,9,398,641,464,721
009.jpg,645,800,10,207,544,273,624
009.jpg,645,800,11,424,540,490,620
009.jpg,645,800,12,432,545,498,625
009.jpg,645,800,13,475,516,541,596
009.jpg,645,800,14,467,569,533,649
009.jpg,645,800,15,450,473,516,553
009.jpg,645,800,16,440,648,506,728
009.jpg,645,800,17,293,443,359,523
009.jpg,645,800,18,437,450,503,530
009.jpg,645,800,19,192,412,258,492
010.jpg,645,800,1,249,320,315,400
010.jpg,645,800,2,435,245,501,325
010.jpg,645,800,3,403,345,469,425
010.jpg,645,800,4,187,383,253,463
010.jpg,645,800,5,454,463,520,543
010.jpg,645,800,6,424,541,490,621
010.jpg,645,800,7,422,585,488,665
010.jpg,645,800,8,411,604,477,684
010.jpg,645,800,9,420,597,486,677
010.jpg,645,800,10,225,515,291,595
010.jpg,645,800,11,445,495,511,575
010.jpg,645,800,12,456,499,522,579
010.jpg,645,800,13,502,475,568,555
010.jpg,645,800,14,479,544,545,624
010.jpg,645,800,15,489,428,555,508
010.jpg,645,800,16,448,617,514,697
010.jpg,645,800,17,309,421,375,501
010.jpg,645,800,18,448,413,514,493
010.jpg,645,800,19,211,409,277,489
011.jpg,645,800,1,222,306,288,386
011.jpg,645,800,2,426,280,492,360
011.jpg,645,800,3,384,358,450,438
011.jpg,645,800,4,165,364,231,444
011.jpg,645,800,5,445,482,511,562
011.jpg,645,800,6,398,564,464,644
011.jpg,645,800,7,390,618,456,698
011.jpg,645,800,8,366,638,432,718
011.jpg,645,800,9,381,632,447,712
011.jpg,645,800,10,211,500,277,580
011.jpg,645,800,11,430,526,496,606
011.jpg,645,800,12,439,512,505,592
011.jpg,645,800,13,484,492,550,572
011.jpg,645,800,14,469,566,535,646
011.jpg,645,800,15,466,446,532,526
011.jpg,645,800,16,405,642,471,722
011.jpg,645,800,17,290,426,356,506
011.jpg,645,800,18,424,431,490,511
011.jpg,645,800,19,198,391,264,471
012.jpg,645,800,1,254,309,320,389
012.jpg,645,800,2,474,276,540,356
012.jpg,645,800,3,423,367,489,447
012.jpg,645,800,4,179,387,245,467
012.jpg,645,800,5,471,480,537,560
012.jpg,645,800,6,499,595,565,675
012.jpg,645,800,7,507,652,573,732
012.jpg,645,800,8,494,672,560,752
012.jpg,645,800,9,501,663,567,743
012.jpg,645,800,10,265,578,331,658
012.jpg,645,800,11,505,539,571,619
012.jpg,645,800,12,492,539,558,619
012.jpg,645,800,13,533,501,599,581
012.jpg,645,800,14,549,566,615,646
012.jpg,645,800,15,504,459,570,539
012.jpg,645,800,16,531,680,597,760
012.jpg,645,800,17,321,452,387,532
012.jpg,645,800,18,473,443,539,523
012.jpg,645,800,19,210,414,276,494
013.jpg,645,800,1,218,305,284,385
013.jpg,645,800,2,416,299,482,379
013.jpg,645,800,3,357,385,423,465
013.jpg,645,800,4,142,357,208,437
013.jpg,645,800,5,386,474,452,554
013.jpg,645,800,6,393,579,459,659
013.jpg,645,800,7,393,607,459,687
