Channel,F0 (MHz),BW,range0,range1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
1,2412,22,2401,2423,2401.733333,2402.466667,2403.2,2403.933333,2404.666667,2405.4,2406.133333,2406.866667,2407.6,2408.333333,2409.066667,2409.8,2410.533333,2411.266667,2412,2412.733333,2413.466667,2414.2,2414.933333,2415.666667,2416.4,2417.133333,2417.866667,2418.6,2419.333333,2420.066667,2420.8,2421.533333,2422.266667,2423
2,2417,22,2406,2428,2406.733333,2407.466667,2408.2,2408.933333,2409.666667,2410.4,2411.133333,2411.866667,2412.6,2413.333333,2414.066667,2414.8,2415.533333,2416.266667,2417,2417.733333,2418.466667,2419.2,2419.933333,2420.666667,2421.4,2422.133333,2422.866667,2423.6,2424.333333,2425.066667,2425.8,2426.533333,2427.266667,2428
3,2422,22,2411,2433,2411.733333,2412.466667,2413.2,2413.933333,2414.666667,2415.4,2416.133333,2416.866667,2417.6,2418.333333,2419.066667,2419.8,2420.533333,2421.266667,2422,2422.733333,2423.466667,2424.2,2424.933333,2425.666667,2426.4,2427.133333,2427.866667,2428.6,2429.333333,2430.066667,2430.8,2431.533333,2432.266667,2433
4,2427,22,2416,2438,2416.733333,2417.466667,2418.2,2418.933333,2419.666667,2420.4,2421.133333,2421.866667,2422.6,2423.333333,2424.066667,2424.8,2425.533333,2426.266667,2427,2427.733333,2428.466667,2429.2,2429.933333,2430.666667,2431.4,2432.133333,2432.866667,2433.6,2434.333333,2435.066667,2435.8,2436.533333,2437.266667,2438
5,2432,22,2421,2443,2421.733333,2422.466667,2423.2,2423.933333,2424.666667,2425.4,2426.133333,2426.866667,2427.6,2428.333333,2429.066667,2429.8,2430.533333,2431.266667,2432,2432.733333,2433.466667,2434.2,2434.933333,2435.666667,2436.4,2437.133333,2437.866667,2438.6,2439.333333,2440.066667,2440.8,2441.533333,2442.266667,2443
6,2437,22,2426,2448,2426.733333,2427.466667,2428.2,2428.933333,2429.666667,2430.4,2431.133333,2431.866667,2432.6,2433.333333,2434.066667,2434.8,2435.533333,2436.266667,2437,2437.733333,2438.466667,2439.2,2439.933333,2440.666667,2441.4,2442.133333,2442.866667,2443.6,2444.333333,2445.066667,2445.8,2446.533333,2447.266667,2448
7,2442,22,2431,2453,2431.733333,2432.466667,2433.2,2433.933333,2434.666667,2435.4,2436.133333,2436.866667,2437.6,2438.333333,2439.066667,2439.8,2440.533333,2441.266667,2442,2442.733333,2443.466667,2444.2,2444.933333,2445.666667,2446.4,2447.133333,2447.866667,2448.6,2449.333333,2450.066667,2450.8,2451.533333,2452.266667,2453
8,2447,22,2436,2458,2436.733333,2437.466667,2438.2,2438.933333,2439.666667,2440.4,2441.133333,2441.866667,2442.6,2443.333333,2444.066667,2444.8,2445.533333,2446.266667,2447,2447.733333,2448.466667,2449.2,2449.933333,2450.666667,2451.4,2452.133333,2452.866667,2453.6,2454.333333,2455.066667,2455.8,2456.533333,2457.266667,2458
9,2452,22,2441,2463,2441.733333,2442.466667,2443.2,2443.933333,2444.666667,2445.4,2446.133333,2446.866667,2447.6,2448.333333,2449.066667,2449.8,2450.533333,2451.266667,2452,2452.733333,2453.466667,2454.2,2454.933333,2455.666667,2456.4,2457.133333,2457.866667,2458.6,2459.333333,2460.066667,2460.8,2461.533333,2462.266667,2463
10,2457,22,2446,2468,2446.733333,2447.466667,2448.2,2448.933333,2449.666667,2450.4,2451.133333,2451.866667,2452.6,2453.333333,2454.066667,2454.8,2455.533333,2456.266667,2457,2457.733333,2458.466667,2459.2,2459.933333,2460.666667,2461.4,2462.133333,2462.866667,2463.6,2464.333333,2465.066667,2465.8,2466.533333,2467.266667,2468
11,2462,22,2451,2473,2451.733333,2452.466667,2453.2,2453.933333,2454.666667,2455.4,2456.133333,2456.866667,2457.6,2458.333333,2459.066667,2459.8,2460.533333,2461.266667,2462,2462.733333,2463.466667,2464.2,2464.933333,2465.666667,2466.4,2467.133333,2467.866667,2468.6,2469.333333,2470.066667,2470.8,2471.533333,2472.266667,2473
12,2467,22,2456,2478,2456.733333,2457.466667,2458.2,2458.933333,2459.666667,2460.4,2461.133333,2461.866667,2462.6,2463.333333,2464.066667,2464.8,2465.533333,2466.266667,2467,2467.733333,2468.466667,2469.2,2469.933333,2470.666667,2471.4,2472.133333,2472.866667,2473.6,2474.333333,2475.066667,2475.8,2476.533333,2477.266667,2478
13,2472,22,2461,2483,2461.733333,2462.466667,2463.2,2463.933333,2464.666667,2465.4,2466.133333,2466.866667,2467.6,2468.333333,2469.066667,2469.8,2470.533333,2471.266667,2472,2472.733333,2473.466667,2474.2,2474.933333,2475.666667,2476.4,2477.133333,2477.866667,2478.6,2479.333333,2480.066667,2480.8,2481.533333,2482.266667,2483
