,Animal,File,ID,LBP0,LBP1,LBP2,LBP3,LBP4,LBP5,LBP6,LBP7,LBP8,LBP9
0,alligator,pic1000_Mayart5a.gif,pic1000,0.054006211,0.090411491,0.024541925,0.037515528,0.050667702,0.060962733,0.033190994,0.097507764,0.191925466,0.359270186
1,alligator,pic1001_Mayart5f.gif,pic1001,0.110507586,0.095817836,0.031439809,0.032135499,0.03360715,0.071495465,0.038075616,0.086078185,0.224092259,0.276750595
2,alligator,pic1002_cajun.14.jpg,pic1002,0.04896794,0.049928634,0.020915679,0.035518226,0.048940492,0.103672596,0.030769653,0.059096399,0.454435661,0.147754721
3,alligator,pic1003_embitec200402125x125.gif,pic1003,0.012288,0.02336,0.011776,0.029568,0.04608,0.121856,0.031424,0.062464,0.469376,0.191808
4,alligator,pic1004_120x146_110percent.gif,pic1004,0.004452055,0.018949772,0.007191781,0.040810502,0.073515982,0.187100457,0.022488584,0.028253425,0.54423516,0.073002283
5,alligator,pic1005_DU1107_DU1107.jpg,pic1005,0.03295,0.035525,0.01355,0.01935,0.02625,0.03245,0.01505,0.0367,0.7032,0.084975
6,alligator,pic1006_DU1922_DU1922.jpg,pic1006,0.047232,0.053504,0.025856,0.040512,0.056768,0.066304,0.029696,0.046912,0.496704,0.136512
7,alligator,pic1007_DU1928.jpg,pic1007,0.056064,0.062592,0.031808,0.03936,0.056384,0.03936,0.026112,0.056,0.484416,0.147904
8,alligator,pic1008_DU1945_DU1945.jpg,pic1008,0.06304,0.069312,0.047168,0.07552,0.099584,0.077248,0.039296,0.06624,0.289856,0.172736
9,alligator,pic1009_wish_list.gif,pic1009,0.021175799,0.056164384,0.013184932,0.021689498,0.035844749,0.043493151,0.010559361,0.018550228,0.651426941,0.127910959
10,alligator,pic100_AlligZydeco02.jpg,pic100,0.062763661,0.056120246,0.020013287,0.030592925,0.041222388,0.033349942,0.015462548,0.03223717,0.567414051,0.140823783
11,alligator,pic1010_picture.jpg,pic1010,0.097198494,0.098502802,0.064480573,0.06815468,0.083585928,0.067254524,0.057573253,0.097271976,0.111600992,0.25437678
12,alligator,pic1011_logo.jpg,pic1011,0.031721443,0.037334024,0.011874941,0.021913551,0.047970619,0.065670025,0.023731048,0.053206517,0.594825313,0.111752519
13,alligator,pic1012_mcbox.jpg,pic1012,0.017792,0.024192,0.014592,0.035456,0.017664,0.140928,0.034048,0.047104,0.60448,0.063744
14,alligator,pic1013_mcbrins.jpg,pic1013,0.024,0.025216,0.021184,0.042688,0.07872,0.035456,0.016768,0.020928,0.673024,0.062016
15,alligator,pic1014_mcfilpig.jpg,pic1014,0.070784,0.094336,0.06432,0.092928,0.121472,0.107584,0.058816,0.08512,0.08672,0.21792
16,alligator,pic1015_mcincase.jpg,pic1015,0.087488,0.091968,0.05408,0.071552,0.107456,0.071872,0.04576,0.072448,0.17888,0.218496
17,alligator,pic1016_mcpsl69.jpg,pic1016,0.056576,0.07616,0.07296,0.105088,0.11008,0.117888,0.063744,0.075584,0.165888,0.156032
18,alligator,pic1017_mcraphon.jpg,pic1017,0.053312,0.061504,0.066752,0.112704,0.162368,0.106432,0.0592,0.048512,0.20352,0.125696
19,alligator,pic1018_mcspoon.jpg,pic1018,0.043584,0.06336,0.04096,0.064256,0.090816,0.07232,0.029504,0.057024,0.402176,0.136
20,alligator,pic1019_mctwinsg.jpg,pic1019,0.02368,0.022848,0.006272,0.011392,0.013184,0.057152,0.016,0.031744,0.732864,0.084864
21,alligator,pic101_allizard.gif,pic101,0.038653809,0.060883377,0.010901116,0.012078307,0.014094046,0.043846352,0.017746565,0.061471973,0.523713152,0.216611301
