,timenow,fpr,tpr
0,2019-11-28_01_42_21.132484,[0.         0.         0.         ... 0.77563158 0.77563158 1.        ],"[5.26315789e-05 2.46842105e-02 2.47894737e-02 ... 9.99947368e-01
 1.00000000e+00 1.00000000e+00]"
1,2019-11-28_01_53_32.331687,[0.         0.         0.         ... 0.71147368 0.71147368 1.        ],"[5.26315789e-05 8.31578947e-03 8.42105263e-03 ... 9.99947368e-01
 1.00000000e+00 1.00000000e+00]"
2,2019-11-28_02_04_42.188653,[0.         0.         0.         ... 0.74005263 0.74015789 1.        ],"[5.26315789e-05 1.13157895e-02 1.14210526e-02 ... 1.00000000e+00
 1.00000000e+00 1.00000000e+00]"
3,2019-11-28_02_13_58.971956,[0.         0.         0.         ... 0.83689474 0.83689474 1.        ],"[5.26315789e-05 1.39473684e-02 1.40526316e-02 ... 9.99947368e-01
 1.00000000e+00 1.00000000e+00]"
4,2019-11-28_02_23_24.479215,"[0.00000000e+00 5.26315789e-05 6.31578947e-04 ... 9.86842105e-01
 9.86947368e-01 1.00000000e+00]",[0. 0. 0. ... 1. 1. 1.]
5,2019-11-28_02_30_31.020770,[0.         0.         0.         ... 0.89642105 0.89652632 1.        ],"[5.26315789e-05 7.31578947e-03 7.52631579e-03 ... 1.00000000e+00
 1.00000000e+00 1.00000000e+00]"
6,2019-11-28_02_37_43.061144,"[0.00000000e+00 0.00000000e+00 5.26315789e-05 ... 8.61684211e-01
 8.61684211e-01 1.00000000e+00]","[5.26315789e-05 1.79473684e-02 1.79473684e-02 ... 9.99947368e-01
 1.00000000e+00 1.00000000e+00]"
7,2019-11-28_02_48_47.381313,[0.         0.         0.         ... 0.80773684 0.80773684 1.        ],"[5.26315789e-05 1.50000000e-02 1.51052632e-02 ... 9.99947368e-01
 1.00000000e+00 1.00000000e+00]"
8,2019-11-28_02_59_58.219731,[0.         0.         0.         ... 0.78268421 0.78268421 1.        ],"[5.26315789e-05 8.01578947e-02 8.02631579e-02 ... 9.99947368e-01
 1.00000000e+00 1.00000000e+00]"
9,2019-11-28_03_09_21.293383,[0.         0.         0.         ... 0.99668421 0.99678947 1.        ],"[5.26315789e-05 1.42105263e-03 1.52631579e-03 ... 1.00000000e+00
 1.00000000e+00 1.00000000e+00]"
